times,prices,sellBuyHold,confidence
570,28507.85,2,0.60963553
571,28512.11,2,0.615047
572,28515.19,2,0.6139111
573,28501.31,2,0.607947
574,28498.51,2,0.6104649
575,28482.82,2,0.60762966
576,28495.7,2,0.621262
577,28500.34,2,0.6261583
578,28497.22,2,0.62433374
579,28508.97,2,0.62670124
580,28500.12,2,0.6215991
581,28496.77,2,0.61413866
582,28484.39,2,0.60694474
583,28490.68,2,0.6337224
584,28523.85,2,0.6201859
585,28533.99,2,0.60131514
586,28511.67,2,0.6022422
587,28537.67,2,0.5866069
588,28541.69,2,0.5857478
589,28546.06,2,0.5862795
590,28546.07,2,0.59648436
591,28556.0,2,0.59180486
592,28571.39,2,0.5688507
593,28580.61,2,0.5436941
594,28589.97,2,0.53227043
595,28521.78,2,0.53526175
596,28524.63,2,0.55110574
597,28539.94,2,0.5702355
598,28399.99,1,0.47605175
599,28415.94,1,0.48108897
600,28490.23,2,0.46172622
601,28673.98,0,0.49371135
602,28554.38,0,0.39778796
603,28563.21,2,0.3927116
604,28586.33,2,0.4060739
605,28559.09,2,0.44647282
606,28539.01,2,0.48439094
607,28515.99,2,0.49949965
608,28521.58,2,0.5015272
609,28484.11,2,0.49890354
610,28407.46,1,0.49039072
611,28394.64,1,0.5306812
612,28388.57,1,0.5165116
613,28374.83,1,0.5215732
614,28402.29,1,0.46702677
615,28414.57,2,0.4328648
616,28286.16,1,0.64396626
617,28236.55,1,0.673264
618,28149.11,1,0.72964567
619,28202.42,1,0.6550769
620,28216.37,1,0.62499475
621,28159.59,1,0.66630924
622,28216.6,1,0.5958435
623,28168.0,1,0.63492304
624,28140.89,1,0.6608106
625,28130.0,1,0.6628742
626,28166.12,1,0.61944383
627,28130.0,1,0.6474221
628,27894.66,1,0.80197674
629,27981.83,1,0.7520597
630,28041.53,1,0.7068488
631,27988.69,1,0.7357766
632,28006.22,1,0.7113598
633,28018.42,1,0.6883826
634,28042.36,1,0.65206313
635,28088.58,1,0.5888765
636,28069.66,1,0.59566665
637,28098.91,1,0.54871553
638,28119.96,1,0.5038917
639,28029.59,1,0.6365682
640,28054.13,1,0.623476
641,27962.78,1,0.71324927
642,27943.04,1,0.72905177
643,27914.23,1,0.7492982
644,27965.87,1,0.6821949
