timestamp,BTC_close,BTC_low,BTC_high,BTC_volume,BTC_HLPercent
1650391200,41344.91,40667.42,41730,3155935.04,0.025463216
1650412800,41489.56,41202.06,41521,1507999.23,0.007681414
1650434400,41431.49,41233.32,41529.99,352502.76,0.007143512
1650456000,42097.36,41292.52,42181.87,2028656.37,0.021083703
1650477600,41326.65,41041.17,42160.96,1885737.07,0.026559879
1650499200,41355.72,40891.43,41620.33,1059500.81,0.017513076
1650520800,41460.18,41323.25,41765.24,454879.54,0.010582724
1650542400,42454.73,41435.44,42675.99,3368635.41,0.029069039
1650564000,41531.14,41500,42965.31,4413783.43,0.03410449
1650585600,40480.21,39800,41662.89,4281909.74,0.044713413
1650607200,40658.45,40244.86,40708.07,733685.05,0.011378825
1650628800,40573.71,40152.75,40789.99,1421041.98,0.01562246
1650650400,39360.67,39188,40614.28,4459492.78,0.035117698
1650672000,39718.46,39242.57,39817.39,2015712.99,0.014436406
1650693600,39573.75,39297.36,39852.7,520825.74,0.013934815
1650715200,39602.53,39503.36,39678.79,685659.22,0.004421254
1650736800,39815.14,39545.11,39970.7,1366838.79,0.010647549
1650758400,39436.93,39319.75,39920.79,884229.45,0.015055814
1650780000,39667.25,39429.35,39820.26,266880.25,0.009816862
1650801600,39598.52,39558.37,39802.01,458149.62,0.006121299
1650823200,39417.35,38990.32,39921.76,2210619.73,0.023331637
1650844800,39464.2,39419.32,39784.47,1607167.98,0.009178204
1650866400,38976.6,38700,39492.08,2324918.48,0.02005668
1650888000,38829.42,38200,39048.78,4249407.15,0.021736403
1650909600,39386.18,38432.01,39659.21,6428048.74,0.030943632
1650931200,40428.07,39314.36,40573.71,8482377.01,0.031038572
1650952800,40587.98,40386.16,40744.38,2087845.17,0.008791887
1650974400,40474.88,40250.5,40773.9,1639237.73,0.012836643
1650996000,38395.42,38020,40611.59,7303713.85,0.063814049
1651017600,38124.09,37713,38560.08,5481690.27,0.021967797
1651039200,38417.32,37880,38541,3142930.59,0.017150567
1651060800,38990.06,38412.91,39225.32,3675002.37,0.020711367
1651082400,39099.81,38451.61,39478.02,3768579.55,0.025999531
1651104000,39237.3,38673.01,39397,3206512.72,0.01837678
1651125600,39338.77,39155.15,39693.3,6570714.73,0.013557704
1651147200,39684.78,39302.09,39863.27,6053307.35,0.014077621
1651168800,40285.42,37501,40288,13260069.35,0.069176926
1651190400,39743.68,39627.65,40364.51,2106502.02,0.018255145
1651212000,39502.28,39290.02,39927.2,925925.58,0.015958545
1651233600,38750.27,38638.31,39622.72,3218825.55,0.024844584
1651255200,38636.03,38456.69,39382.94,2703205.53,0.023519067
1651276800,38595.06,38183.67,38664.5,2372490.74,0.012435955
1651298400,38704.46,38500,38775,625132.63,0.007092199
1651320000,38579.53,38544.77,38755.49,625874.15,0.005437165
1651341600,38281.69,38168.57,38638.32,1615441.59,0.01215762
1651363200,37628.64,37575.5,38484.45,1766605.93,0.02361863
1651384800,38048.14,37410,38163.7,1389865.69,0.019749133
1651406400,37942.41,37883.33,38145.28,988163.62,0.006867167
1651428000,38379.83,37850,38673.1,1873238.44,0.021283528
1651449600,38480.05,37596.46,38630.02,2948556.52,0.026755358
1651471200,39014.89,38381.71,39086.79,1324434.73,0.018038831
1651492800,38528.06,38492.8,39151.08,1731854.8,0.01681384
1651514400,38363.5,38210,39152.73,5378638.45,0.02407827
1651536000,38518.01,38065.89,38899.99,3053336.16,0.021442165
1651557600,38515.78,38322.09,38608.6,1504324.96,0.007420886
1651579200,38559.71,38274.92,38648.52,1208134.63,0.009666606
1651600800,38071.87,38071.87,38593.79,2820215.61,0.013523419
1651622400,37725.91,37502.8,38075.76,3638754.07,0.015047894
